Temp(degC),Salinity(PSU),pH,DO(mg/l),rainfall(mm),At_temp(degC)
25.6,35,8.27,7.311,0.6,23.6
25.6,35,8.27,7.367,0.6,23.5
25.6,35,8.27,7.357,0.6,23.5
25.6,35,8.27,7.39,0.6,23.4
25.6,35,8.27,7.316,0.6,23.4
25.6,35,8.27,7.312,0.6,23.4
25.6,35,8.27,7.303,0.6,23.4
25.6,35,8.27,7.274,0.6,23.3
25.6,35,8.27,7.276,0.6,23.3
25.6,35,8.27,7.26,0.6,23.3
25.6,35,8.27,7.276,0.6,23.2
25.6,35,8.27,7.276,0.6,23.2
25.6,35,8.27,7.158,0.6,23.2
25.6,35,8.27,7.353,0.6,23.2
25.6,35,8.27,7.258,0.6,23.2
25.6,35,8.27,7.279,0.6,23.2
25.6,35,8.27,7.314,0.6,23.1
25.6,35,8.27,7.171,0.6,23.1
25.6,35,8.27,6.964,0.6,23.1
25.6,35,8.27,6.881,0.6,23.1
25.6,35,8.27,6.958,0.6,23.1
25.6,35,8.27,6.95,0.6,23.1
25.6,35,8.27,6.95,0.6,23.1
25.6,35,8.27,6.909,0.6,23.1
25.6,35,8.27,6.95,0.6,23.1
25.6,35,8.27,6.872,0.6,23.1
25.6,35,8.27,6.95,0.6,23
25.6,35,8.27,6.95,0.6,23
25.6,35,8.27,6.95,0.6,23
25.6,35,8.27,6.877,0.6,23
25.6,35,8.27,7.015,0.6,23
25.6,35,8.27,6.95,0.6,23
25.6,35,8.27,6.95,0.6,23
25.6,35,8.27,6.95,0.6,23
25.6,35,8.27,6.95,0.6,23
25.6,35,8.27,6.951,0.6,23
25.6,35,8.27,6.966,0.6,23
25.6,35,8.27,7.005,0.6,23
25.6,35,8.27,7.066,0.6,23
25.6,35,8.27,7.032,0.6,23
25.6,35,8.27,7.041,0.6,23
25.6,35,8.27,7.048,0.6,23
25.6,35,8.27,7.104,0.6,23
25.6,35,8.27,7.063,0.6,23
25.6,35.1,8.27,6.972,0.6,23
25.6,35.1,8.27,7.152,0.6,23
25.6,35.1,8.27,7.064,0.6,23
25.6,35.1,8.27,7.104,0.6,23
25.6,35.1,8.27,7.105,0.6,23
25.6,35.1,8.27,7.105,0.6,23
25.6,35.1,8.27,7.247,0.6,23
25.6,35.1,8.27,7.148,0.6,23
25.6,35.1,8.27,7.246,0.6,23
25.6,35.1,8.27,7.191,0,23
25.6,35.1,8.27,7.165,0,23
25.6,35.1,8.27,7.257,0,23
25.6,35.1,8.27,7.199,0,23
25.6,35.1,8.27,7.196,0,23
25.6,35.1,8.27,7.197,0,23
25.6,35.1,8.27,7.257,0,23
25.6,35.1,8.27,7.206,0,23
25.6,35.1,8.27,7.207,0,23
25.6,35.1,8.27,7.22,0,23
25.6,35.1,8.27,7.227,0,23
25.6,35.1,8.27,7.227,0,23
25.6,35.1,8.27,7.227,0,23
25.6,35.1,8.27,7.227,0,23
25.6,35.1,8.27,7.322,0,23
25.6,35.1,8.27,7.284,0,23
25.6,35.1,8.27,7.109,0,23
25.6,35.1,8.27,7.186,0,23
25.6,35.1,8.27,7.165,0,23
25.6,35.1,8.27,7.057,0,23
25.6,35.1,8.27,7.128,0,23
25.6,35.1,8.27,7.127,0,23
25.6,35.1,8.27,7.032,0,23
25.6,35.1,8.27,6.971,0,23
25.6,35.1,8.27,6.969,0,23
25.6,35.1,8.27,6.969,0,23
25.6,35.1,8.27,6.969,0,23
25.6,35.1,8.27,6.969,0,23
25.6,35.1,8.27,6.969,0,23
25.6,35.1,8.27,6.969,0,23
25.6,35.1,8.27,6.928,0,23
25.6,35.1,8.27,6.86,0,23
25.6,35.1,8.27,6.748,0,23
25.6,35.1,8.27,6.693,0,23
25.6,35.1,8.27,6.631,0,23
25.6,35.1,8.27,6.582,0,23
25.6,35.1,8.27,6.558,0,23
25.6,35.1,8.27,6.557,0,23
25.6,35.1,8.27,6.425,0,23
25.6,35.1,8.27,6.519,0,23
25.6,35.1,8.27,6.513,0,23
25.6,35.1,8.27,6.513,0,23
25.6,35.1,8.27,6.35,0,23
25.6,35.1,8.27,6.513,0,23
25.6,35.1,8.27,6.513,0,23
25.6,35.1,8.27,6.514,0,23
25.6,35.1,8.27,6.515,0,23
25.6,35.1,8.27,6.612,0,23
25.6,35.1,8.27,6.706,0,23
25.6,35.1,8.27,6.751,0,23
25.6,35.1,8.27,6.739,0,23
25.6,35.2,8.27,6.869,0,23
25.6,35.2,8.27,6.868,0,23
25.6,35.2,8.27,6.959,0,23
25.6,35.2,8.27,6.909,0,23
25.6,35.2,8.27,6.925,0,23
25.6,35.2,8.27,6.926,0,23
25.6,35.2,8.27,6.926,0,23
25.6,35.2,8.27,6.889,0,23
25.6,35.2,8.27,6.93,0,23.1
25.6,35.2,8.27,6.93,0,23.1
25.6,35.2,8.27,6.93,0,23.1
25.6,35.2,8.27,7.017,0,23.1
25.6,35.2,8.27,6.881,0,23.1
25.6,35.2,8.27,6.978,0,23.1
25.6,35.2,8.27,6.938,0,23.1
25.6,35.2,8.27,6.939,0,23.1
25.6,35.2,8.27,7.017,0,23.1
25.6,35.2,8.27,6.973,0,23.1
25.6,35.2,8.27,6.939,0,23.2
25.6,35.2,8.27,6.939,0,23.2
25.6,35.2,8.27,6.939,0,23.2
25.6,35.2,8.27,6.939,0,23.2
25.6,35.2,8.27,6.939,0,23.2
25.6,35.2,8.27,6.861,0,23.2
25.6,35.2,8.27,6.939,0,23.2
25.6,35.2,8.27,6.939,0,23.3
25.6,35.2,8.27,6.939,0,23.3
25.6,35.2,8.27,6.933,0,23.3
25.6,35.2,8.27,6.913,0,23.3
25.6,35.2,8.27,6.906,0,23.3
25.6,35.2,8.27,6.877,0,23.4
25.6,35.2,8.27,6.861,0,23.4
25.6,35.2,8.27,6.862,0,23.4
25.6,35.2,8.27,6.854,0,23.4
25.6,35.2,8.27,6.861,0,23.5
25.6,35.2,8.27,6.861,0,23.5
25.6,35.2,8.27,6.861,0,23.5
25.6,35.2,8.27,6.861,0,23.6
25.6,35.2,8.27,6.876,0,23.6
25.6,35.2,8.27,6.798,0,23.6
25.6,35.2,8.27,6.77,0,23.7
25.6,35.2,8.27,6.707,0,23.7
25.5,35.2,8.27,6.628,0,23.8
25.5,35.2,8.27,6.626,0,23.8
25.5,35.2,8.27,6.626,0,23.9
25.5,35.2,8.27,6.626,0,23.9
25.5,35.2,8.27,6.626,0,23.9
25.5,35.2,8.27,6.626,0,24
25.5,35.2,8.27,6.482,0,24.1
25.5,35.2,8.27,6.498,0,24.1
25.5,35.2,8.27,6.464,0,24.2
25.5,35.2,8.27,6.364,0,24.2
25.5,35.2,8.27,6.441,0,24.3
25.5,35.2,8.27,6.371,0,24.3
25.5,35.2,8.27,6.436,0,24.4
25.5,35.2,8.27,6.438,0,24.5
25.5,35.2,8.27,6.438,0,24.5
25.5,35.2,8.27,6.367,0,24.6
25.5,35.2,8.27,6.418,0,24.7
25.5,35.2,8.27,6.435,0,24.7
25.5,35.2,8.27,6.434,0,24.8
25.5,35.2,8.27,6.46,0,24.9
25.5,35.2,8.27,6.418,0,25
25.5,35.2,8.27,6.338,0,25
25.5,35.2,8.27,6.419,0,25.1
25.5,35.2,8.27,6.374,0,25.2
25.5,35.2,8.27,6.419,0,25.3
25.5,35.2,8.27,6.351,0,25.4
25.5,35.2,8.27,6.419,0,25.4
25.5,35.2,8.27,6.446,0,25.5
25.5,35.2,8.27,6.531,0,25.6
25.5,35.2,8.27,6.503,0,25.7
25.5,35.2,8.27,6.527,0,25.8
25.5,35.2,8.27,6.553,0,25.9
25.5,35.2,8.27,6.717,0,25.9
25.5,35.2,8.27,6.814,0,26
25.5,34.8,8.27,6.827,0,26.1
25.5,34.8,8.27,6.827,0,26.2
25.5,34.8,8.27,6.827,0,26.3
25.5,34.8,8.27,6.827,0,26.4
25.5,34.8,8.27,6.954,0,26.4
25.5,34.8,8.27,6.954,0,26.5
25.5,34.8,8.27,7.015,0,26.6
25.5,34.8,8.27,7.197,0,26.7
25.5,34.8,8.27,7.326,0,26.8
25.5,34.8,8.27,7.305,0,26.8
25.5,34.8,8.27,7.339,0,26.9
25.5,34.8,8.27,7.443,0,27
25.5,34.8,8.27,7.462,0,27
25.5,34.8,8.27,7.48,0,27.1
25.5,34.8,8.27,7.528,0,27.2
25.5,34.8,8.27,7.538,0,27.2
25.5,34.8,8.27,7.557,0,27.3
25.5,34.8,8.27,7.575,0,27.4
25.5,34.8,8.27,7.554,0,27.4
25.5,34.8,8.27,7.587,0,27.5
25.5,34.8,8.27,7.59,0,27.5
25.5,34.8,8.27,7.699,0,27.6
25.5,34.8,8.27,7.68,0,27.6
25.5,34.8,8.27,7.622,0,27.6
25.5,34.8,8.27,7.541,0,27.7
25.5,34.8,8.27,7.611,0,27.7
25.5,34.8,8.27,7.672,0,27.7
25.5,34.8,8.27,7.638,0,27.7
25.5,34.8,8.27,7.749,0,27.8
25.5,34.8,8.27,7.69,0,27.8
25.5,34.8,8.27,7.679,0,27.8
25.5,34.8,8.27,7.691,0,27.8
25.5,34.8,8.27,7.806,0,27.8
25.5,34.8,8.27,7.734,0,27.8
25.6,34.8,8.27,7.749,0,27.8
25.6,34.8,8.27,7.906,0,27.8
25.6,34.8,8.27,7.843,0,27.8
25.6,34.8,8.27,7.872,0,27.7
25.6,34.9,8.27,7.892,0,27.7
25.6,34.9,8.27,7.885,0,27.7
25.6,34.9,8.27,7.974,0,27.7
25.6,34.9,8.27,7.905,0,27.6
25.6,34.9,8.27,7.978,0,27.6
25.6,34.9,8.27,7.918,0,27.5
25.6,34.9,8.27,7.925,0,27.5
25.6,34.9,8.27,7.959,0,27.4
25.6,34.9,8.27,7.872,0,27.4
25.6,34.9,8.27,7.885,0,27.3
25.6,34.9,8.27,8.007,0,27.3
25.6,34.9,8.27,7.991,0,27.2
25.6,34.9,8.27,8.149,0,27.2
25.6,34.9,8.27,8.006,0,27.1
25.6,34.9,8.27,8.005,0,27
25.6,34.9,8.27,8.005,0,27
25.6,34.9,8.27,8.005,0,26.9
25.6,34.9,8.27,8.005,0,26.8
25.6,34.9,8.27,8.021,0,26.7
25.6,34.9,8.27,8.001,0,26.7
25.6,34.9,8.27,7.985,0,26.6
25.6,34.9,8.27,7.944,0,26.5
25.6,34.9,8.27,7.911,0,26.4
25.6,34.9,8.27,7.908,0,26.3
25.6,35,8.27,7.877,0,26.3
25.6,35,8.27,7.751,0,26.2
25.6,35,8.27,7.743,0,26.1
25.6,35,8.27,7.743,0,26
25.6,35,8.27,7.743,0,25.9
25.6,35,8.27,7.65,0,25.8
25.6,35,8.27,7.743,0,25.8
25.6,35,8.27,7.743,0,25.7
25.6,35,8.27,7.848,0,25.6
25.6,35,8.27,7.743,0,25.5
25.6,35,8.27,7.68,0,25.4
25.6,35,8.27,7.767,0,25.3
25.6,35,8.27,7.818,0,25.3
25.6,35,8.27,7.743,0,25.2
25.6,35,8.27,7.743,0,25.1
25.6,35,8.27,7.787,0,25
25.6,35,8.27,7.797,0,24.9
25.6,35,8.27,7.736,0,24.9
25.6,35,8.27,7.722,0,24.8
25.6,35,8.27,7.639,0,24.7
25.6,35,8.27,7.636,0,24.7
25.6,35,8.27,7.533,0,24.6
25.6,35,8.27,7.527,0,24.5
25.6,35,8.27,7.527,0,24.4
25.6,35,8.27,7.527,0,24.4
25.6,35,8.27,7.314,0,24.3
25.6,35,8.27,7.363,0,24.3
25.6,35,8.27,7.296,0,24.2
25.6,35,8.27,7.326,0,24.1
25.6,35,8.27,7.215,0,24.1
25.6,35,8.27,7.196,0,24
25.6,35,8.27,7.242,0,24
25.6,35.1,8.27,7.135,0,23.9
25.6,35.1,8.27,7.114,0,23.9
25.6,35.1,8.27,7.163,0,23.8
25.6,35.1,8.27,7.155,0,23.8
25.6,35.1,8.27,7.12,0,23.8
25.6,35.1,8.27,7.115,0,23.7
25.6,35.1,8.27,7.115,0,23.7
25.6,35.1,8.27,7.115,0,23.6
25.6,35.1,8.27,7.115,0,23.6
25.6,35.1,8.27,7.115,0,23.6
25.6,35.1,8.27,7.115,0,23.5
25.6,35.1,8.27,7.186,0,23.5
25.6,35.1,8.27,7.115,0,23.5
25.6,35.1,8.27,7.115,0,23.4
25.6,35.1,8.27,7.117,0,23.4
25.6,35.1,8.27,7.125,0,23.4
25.6,35.1,8.27,7.18,0,23.4
25.6,35.1,8.27,7.147,0,23.3
25.6,35.1,8.27,7.147,0,23.3
25.6,35.1,8.27,7.154,0,23.3
25.6,35.1,8.27,7.155,0,23.3
25.6,35.1,8.27,7.084,0,23.3
25.6,35.1,8.27,7.173,0,23.2
25.6,35.1,8.27,7.189,0,23.2
25.6,35.1,8.27,7.207,0,23.2
25.6,35.1,8.27,7.207,0,23.2
25.6,35.1,8.27,7.134,0,23.2
25.6,35.1,8.27,7.258,0,23.2
25.6,35.1,8.27,7.333,0,23.2
25.6,35.1,8.27,7.402,0,23.1
25.6,35.1,8.27,7.443,0,23.1
25.6,35.1,8.27,7.454,0,23
25.6,35.1,8.27,7.455,0,23
25.6,35.1,8.27,7.455,0,23
25.6,35.1,8.27,7.705,0,23
25.6,35.1,8.27,7.489,0,22.9
25.6,35.1,8.27,7.489,0,22.9
25.6,35.1,8.27,7.489,0,22.9
25.6,35.2,8.27,7.489,0,22.9
25.6,35.2,8.27,7.515,0,22.9
25.6,35.2,8.27,7.489,0,22.9
25.6,35.2,8.27,7.489,0,22.9
25.6,35.2,8.27,7.459,0,22.9
25.6,35.2,8.27,7.583,0,22.9
25.6,35.2,8.27,7.486,0,22.8
25.6,35.2,8.27,7.486,0,22.8
25.6,35.2,8.27,7.398,0,22.8
25.6,35.2,8.27,7.482,0,22.8
25.6,35.2,8.27,7.548,0,22.8
25.6,35.2,8.27,7.389,0,22.8
25.6,35.2,8.27,7.482,0,22.8
25.6,35.2,8.27,7.482,0,22.8
25.6,35.2,8.27,7.482,0,22.7
25.6,35.2,8.27,7.482,0,22.7
25.6,35.2,8.27,7.482,0,22.7
25.6,35.2,8.27,7.482,0,22.7
25.6,35.2,8.27,7.482,0,22.7
25.6,35.2,8.27,7.43,0,22.7
25.6,35.2,8.27,7.479,0,22.7
25.6,35.2,8.27,7.395,0,22.7
25.6,35.2,8.27,7.446,0,22.7
25.6,35.2,8.27,7.397,0,22.6
25.6,35.2,8.27,7.37,0,22.6
25.6,35.2,8.27,7.406,0,22.6
25.6,35.2,8.27,7.395,0,22.6
25.6,35.2,8.27,7.395,0,22.6
25.6,35.2,8.27,7.393,0,22.6
25.6,35.2,8.27,7.347,0,22.6
25.6,35.2,8.27,7.387,0,22.6
25.6,35.2,8.27,7.373,0,22.5
25.6,35.2,8.27,7.323,0,22.5
25.5,35.2,8.27,7.336,0,22.5
25.5,35.2,8.27,7.334,0,22.5
25.5,35.2,8.27,7.318,0,22.5
25.5,35.2,8.27,7.212,0,22.5
25.5,35.2,8.27,7.215,0,22.5
25.5,35.2,8.27,7.184,0,22.5
25.5,35.2,8.27,7.199,0,22.4
25.5,35.2,8.27,7.249,0,22.4
25.5,35.2,8.27,7.249,0,22.4
25.5,35.2,8.27,7.303,0,22.4
25.5,35.2,8.27,7.193,0,22.4
25.5,35.2,8.27,7.162,0,22.4
25.5,35.2,8.27,7.159,0,22.4
25.5,35.2,8.27,7.159,0,22.4
25.5,35.2,8.27,7.14,0,22.4
25.5,35.2,8.27,7.055,0,22.3
25.5,35.2,8.27,7.027,0,22.3
25.5,35.2,8.27,7.096,0,22.3
25.5,35.2,8.27,7.091,0,22.3
25.5,35.2,8.27,7.084,0,22.3
25.5,35.2,8.27,7.061,0,22.3
25.5,35.2,8.27,7.016,0,22.3
25.5,35.2,8.27,6.993,0,22.3
25.5,35.2,8.27,6.922,0,22.2
25.5,35.2,8.27,6.962,0,22.2
25.5,35.2,8.27,6.887,0,22.2
25.5,35.2,8.27,6.981,0,22.2
25.5,35.2,8.27,6.976,0,22.2
25.5,35.2,8.27,6.825,0,22.2
25.5,35.2,8.27,6.859,0,22.2
25.5,35.2,8.27,6.855,0,22.2
25.5,35.2,8.27,6.855,0,22.2
25.5,35.2,8.27,6.778,0,22.1
25.5,35.2,8.27,6.72,0,22.1
25.5,35.2,8.27,6.878,0,22.1
25.5,35.2,8.27,6.835,0,22.1
25.5,35.2,8.27,6.835,0,22.1
25.5,35.2,8.27,6.835,0,22.1
25.5,35.2,8.27,6.797,0,22.1
25.5,35.2,8.27,6.805,0,22.1
25.5,35.2,8.27,6.805,0,22.1
25.5,35.2,8.27,6.797,0,22.1
25.5,35.2,8.27,6.758,0,22.1
25.5,35.2,8.27,6.732,0,22.1
25.5,35.2,8.27,6.736,0,22.1
25.5,35.2,8.27,6.733,0,22.1
25.5,35.2,8.27,6.732,0,22.1
25.5,35.2,8.27,6.723,0,22.1
25.5,35.2,8.27,6.74,0,22.1
25.4,35.2,8.27,6.66,0,22.1
25.4,35.2,8.27,6.747,0,22.1
25.4,35.2,8.27,6.623,0,22.1
25.4,35.2,8.27,6.675,0,22.1
25.4,35.2,8.27,6.678,0,22.1
25.4,35.2,8.27,6.653,0,22.1
25.4,35.2,8.27,6.612,0,22.1
25.4,35.2,8.27,6.627,0,22.2
25.4,35.2,8.27,6.62,0,22.2
25.4,35.2,8.27,6.618,0,22.2
25.4,35.2,8.27,6.618,0,22.2
25.4,35.2,8.27,6.618,0,22.2
25.4,35.2,8.27,6.618,0,22.2
25.4,35.2,8.27,6.68,0,22.3
25.4,35.2,8.27,6.616,0,22.3
25.4,35.2,8.27,6.604,0,22.3
25.4,35.2,8.27,6.595,0,22.3
25.4,35.2,8.27,6.594,0,22.3
25.4,35.2,8.27,6.594,0,22.4
25.4,35.2,8.27,6.594,0,22.4
25.4,35,8.27,6.594,0,22.4
25.3,35,8.27,6.594,0,22.4
25.3,35,8.27,6.594,0,22.5
25.3,35,8.27,6.594,0,22.5
25.3,35,8.27,6.608,0,22.5
25.3,35,8.27,6.594,0,22.6
25.3,35,8.27,6.594,0,22.6
25.3,35,8.27,6.594,0,22.6
25.3,34.9,8.27,6.594,0,22.7
25.3,34.9,8.27,6.594,0,22.7
25.3,34.9,8.27,6.655,0,22.8
25.3,34.9,8.27,6.604,0,22.8
25.3,34.9,8.27,6.604,0,22.9
25.3,34.9,8.27,6.659,0,22.9
25.3,34.9,8.27,6.604,0,23
25.3,34.9,8.27,6.604,0,23
25.3,34.9,8.27,6.604,0,23.1
25.3,34.9,8.27,6.604,0,23.1
25.3,34.9,8.27,6.604,0,23.2
25.3,34.9,8.27,6.696,0,23.3
25.3,34.9,8.27,6.615,0,23.3
25.3,34.9,8.27,6.634,0,23.4
25.3,34.9,8.27,6.641,0,23.5
25.3,34.9,8.27,6.655,0,23.5
25.3,34.9,8.27,6.674,0,23.6
25.3,34.9,8.27,6.678,0,23.7
25.3,34.9,8.27,6.676,0,23.8
25.3,34.9,8.27,6.676,0,23.9
25.3,34.9,8.27,6.681,0,23.9
25.3,34.9,8.27,6.801,0,24
25.3,34.9,8.27,6.82,0,24.1
25.3,34.9,8.27,7.005,0,24.2
25.3,34.9,8.27,6.943,0,24.3
25.3,34.9,8.27,6.957,0,24.4
25.3,34.9,8.27,6.973,0,24.5
25.3,34.9,8.27,6.893,0,24.6
25.3,34.9,8.27,6.996,0,24.7
25.3,34.9,8.27,7.001,0,24.8
25.3,34.9,8.27,7.001,0,24.9
25.3,34.9,8.27,7.001,0,25
25.3,34.9,8.27,7.004,0,25.1
25.3,34.9,8.27,7.015,0,25.2
25.3,34.9,8.27,7.032,0,25.3
25.3,34.9,8.27,6.992,0,25.4
25.3,34.9,8.27,7.095,0,25.5
25.3,34.9,8.27,7.11,0,25.6
25.3,34.9,8.27,7.286,0,25.7
25.3,34.9,8.27,7.145,0,25.8
25.3,34.9,8.27,7.153,0,25.9
25.3,34.9,8.27,7.169,0,26
25.3,34.9,8.27,7.175,0,26.1
25.3,34.9,8.27,7.176,0,26.2
25.3,34.9,8.27,7.26,0,26.3
25.3,34.9,8.27,7.176,0,26.4
25.3,34.9,8.27,7.214,0,26.5
25.3,34.9,8.27,7.176,0,26.6
25.3,34.8,8.27,7.176,0,26.7
25.2,34.8,8.27,7.197,0,26.8
25.2,34.8,8.27,7.207,0,26.9
25.2,34.8,8.27,7.219,0,27
25.2,34.8,8.27,7.234,0,27.1
25.2,34.8,8.27,7.265,0,27.1
25.2,34.8,8.27,7.276,0,27.2
25.2,34.8,8.27,7.234,0,27.3
25.2,34.8,8.27,7.317,0,27.4
25.2,34.8,8.27,7.365,0,27.4
25.2,34.8,8.27,7.327,0,27.5
25.2,34.8,8.27,7.364,0,27.6
25.2,34.8,8.27,7.452,0,27.6
25.2,34.8,8.27,7.402,0,27.7
25.2,34.8,8.27,7.424,0,27.8
25.2,34.8,8.27,7.473,0,27.8
25.2,34.8,8.27,7.489,0,27.8
25.2,34.8,8.27,7.489,0,27.9
25.2,34.8,8.27,7.51,0,27.9
25.2,34.8,8.27,7.499,0,27.9
25.2,34.8,8.27,7.509,0,27.9
25.2,34.8,8.27,7.544,0,28
25.2,34.8,8.27,7.544,0,28
25.2,34.8,8.27,7.601,0,28
25.2,34.8,8.27,7.574,0,28
25.2,34.8,8.27,7.644,0,28
25.2,34.8,8.27,7.575,0,28
25.2,34.8,8.27,7.575,0,28
25.2,34.8,8.27,7.574,0,27.9
25.2,34.8,8.27,7.574,0,27.9
25.2,34.8,8.27,7.57,0,27.9
25.2,34.8,8.27,7.566,0,27.9
25.2,34.9,8.27,7.455,0,27.8
25.2,35,8.27,7.452,0,27.8
25.2,35,8.27,7.509,0,27.7
25.2,35.1,8.27,7.509,0,27.7
25.2,35.1,8.27,7.509,0,27.6
25.2,35.2,8.27,7.602,0,27.6
25.2,35.2,8.27,7.509,0,27.5
25.2,35.2,8.27,7.584,0,27.4
25.2,35.2,8.27,7.571,0,27.4
25.2,35.2,8.27,7.552,0,27.3
25.2,35.2,8.27,7.545,0,27.2
25.2,35.2,8.27,7.495,0,27.1
25.2,35.2,8.27,7.541,0,27.1
25.2,35.2,8.27,7.548,0,27
25.2,35.2,8.27,7.66,0,26.9
25.2,35.2,8.27,7.56,0,26.8
25.2,35.2,8.27,7.584,0,26.7
25.2,35.2,8.27,7.734,0,26.6
25.2,35.2,8.27,7.613,0,26.5
25.2,35.2,8.27,7.613,0,26.4
25.2,35.2,8.27,7.61,0,26.3
25.2,35.2,8.27,7.613,0,26.2
25.2,35.2,8.27,7.602,0,26.1
25.2,35.2,8.27,7.58,0,26
25.2,35.2,8.27,7.613,0,25.9
25.2,35.2,8.27,7.508,0,25.8
25.2,35.2,8.27,7.611,0,25.7
25.2,35.2,8.27,7.558,0,25.6
25.2,35.2,8.27,7.536,0,25.5
25.2,35.2,8.27,7.588,0,25.4
25.2,35.2,8.27,7.558,0,25.3
25.2,35.2,8.27,7.575,0,25.2
25.1,35.3,8.27,7.532,0,25.1
25.1,35.3,8.27,7.531,0,25
25.1,35.3,8.27,7.43,0,24.9
25.1,35.3,8.27,7.5,0,24.8
25.1,35.3,8.27,7.501,0,24.7
25.1,35.3,8.27,7.501,0,24.6
25.1,35.3,8.27,7.501,0,24.5
25.1,35.3,8.27,7.501,0,24.4
25.1,35.3,8.27,7.501,0,24.3
25.1,35.3,8.27,7.51,0,24.2
25.1,35.3,8.27,7.572,0,24.1
25.1,35.3,8.27,7.511,0,24
25.1,35.3,8.27,7.476,0,23.9
25,35.3,8.27,7.499,0,23.8
25,35.3,8.27,7.408,0,23.8
25,35.3,8.27,7.43,0,23.7
25,35.3,8.27,7.45,0,23.6
25,35.3,8.27,7.536,0,23.5
25,35.3,8.27,7.326,0,23.5
25,35.3,8.27,7.266,0,23.4
25,35.3,8.27,7.08,0,23.3
25,35.3,8.27,7.073,0,23.3
25,35.3,8.27,6.838,0,23.2
25,35.3,8.27,6.805,0,23.1
25,35.3,8.27,6.802,0,23.1
25,35.3,8.27,6.71,0,23
25,35.3,8.27,6.72,0,23
25,35.3,8.27,6.719,0,22.9
25,35.3,8.27,6.719,0,22.9
25,35.3,8.27,6.719,0,22.8
25,35.3,8.27,6.719,0,22.8
25,35.3,8.27,6.719,0,22.7
25,35.3,8.27,6.719,0,22.7
25,35.3,8.27,6.719,0,22.6
25,35.3,8.27,6.719,0,22.6
25,35.3,8.27,6.719,0,22.6
25,35.3,8.27,6.731,0,22.5
25,35.3,8.27,6.773,0,22.5
25,35.3,8.27,6.885,0,22.5
25,35.3,8.27,6.829,0,22.4
25,35.3,8.27,6.848,0,22.4
25,35.3,8.27,6.854,0,22.4
25,35.3,8.27,6.909,0,22.4
25,35.3,8.27,6.925,0,22.3
25,35.3,8.27,6.926,0,22.3
25,35.3,8.27,6.926,0,22.3
25,35.3,8.27,6.903,0,22.3
25,35.3,8.27,7.021,0,22.3
25,35.3,8.27,7.024,0,22.2
25,35.3,8.27,7.031,0,22
25,35.3,8.27,7.068,0,21.9
25,35.3,8.27,7.069,0,21.9
25,35.3,8.27,7.069,0,21.9
25,35.3,8.27,7.069,0,21.8
25,35.3,8.27,7.07,0,21.8
25,35.3,8.27,7.105,0,21.8
25,35.3,8.27,7.11,0,21.7
25,35.3,8.27,7.134,0,21.7
25,35.3,8.27,7.156,0,21.7
25,35.3,8.27,7.157,0,21.6
24.9,35.3,8.27,7.29,0,21.6
24.9,35.3,8.27,7.16,0,21.6
24.9,35.3,8.27,7.16,0,21.5
24.9,35.3,8.27,7.16,0,21.5
24.9,35.3,8.27,7.16,0,21.4
24.9,35.3,8.27,7.16,0,21.4
24.9,35.3,8.27,7.16,0,21.4
24.9,35.3,8.27,7.16,0,21.3
24.9,35.3,8.27,7.113,0,21.3
24.9,35.3,8.27,7.16,0,21.3
24.9,35.3,8.27,7.068,0,21.2
