Temp(degC),Salinity(PSU),pH,DO(mg/l),precipitation(mm),Air_temp(degC)
25.79418398,35.21062304,8.249501563,7.042332507,0.00102,23.005
25.79409199,35.223,8.249700781,7.042339886,0.00102,23.008
25.794046,35.218,8.249800391,7.042343576,0,23.01
25.742023,35.211,8.249850195,7.042345421,0,23.012
25.7160115,35.211,8.249875098,7.042346343,0,23.013
25.70300575,35.223,8.249887549,7.042346804,0,23.011
25.69650287,35.234,8.249893774,7.080073402,0,23.009
25.69325144,35.238,8.2449,7.192786701,0,22.997
25.69162572,35.239,8.2499,7.382193351,0,22.9965
25.69081286,35.237,8.2566,7.584746675,0,22.99675
25.69040643,35.234,8.263,7.572723338,0,22.996875
25.69020321,35.235,8.2672,7.566711669,0,22.9969375
25.69010161,35.235,8.2701,7.563705834,0,22.99696875
25.6760508,35.235,8.2709,7.562202917,0,22.99698438
25.6545254,35.234,8.2699,7.561451459,0,22.99699219
25.6437627,35.234,8.2675,7.561075729,0,22.99699609
25.63338135,35.234,8.249896887,7.560887865,0,22.99699805
25.61869068,35.235,8.247498444,7.560793932,0,22.99699902
25.60484534,35.236,8.246299222,7.560746966,0,23.00199951
25.59792267,35.236,8.241949611,7.560723483,0,23.00849976
25.59446133,35.237,8.236474805,7.477011742,0,23.01274988
25.59273067,35.237,8.231487403,7.426905871,0,23.01437494
25.591,35.237,8.226743701,7.401852935,0,23.01356241
25.588,35.238,8.221421851,7.321376468,0,23.01315614
25.5845,35.24,8.216110925,7.223188234,0,23.01295301
25.57475,35.242,8.215255463,7.130344117,0,23.01285144
25.561875,35.244,8.215683194,7.039572058,0,23.01280066
25.5514375,35.245,8.21589706,6.972786029,0,23.01277527
25.54171875,35.245,8.216003993,6.907393015,0,23.018
25.53185937,35.243,8.216057459,6.814446507,0,23.017
25.52292969,35.24,8.216084192,6.721173254,0,23.016
25.51396484,35.237,8.216070826,6.674536627,0,23.011
25.50598242,35.232,8.216064142,6.651218313,0,23.01188763
25.50099121,35.226,8.216060801,6.639559157,0,23.01233145
25.50049561,35.22,8.2144,6.6233,0,23.01255336
25.50074341,35.216,8.2188,6.6267,0,23.01266432
25.50086731,35.213,8.2214,6.6279,0,23.01271979
25.50092926,35.214,8.2213,6.6215,0,23.01274753
25.50096024,35.215,8.2195,6.6052,0,23.01437377
25.50097572,35.217,8.2172,6.5958,0,23.01518688
25.50098347,35.222,8.216062471,6.5722,0,23.01559344
25.50098734,35.229,8.216063307,6.5821,0,23.01929672
25.496,35.236,8.216063725,6.58705,0,23.02764836
25.5,35.24,8.216181862,6.589525,0,23.03682418
25.504,35.244,8.21675,6.5907625,0,23.04591209
25.506,35.244,8.218,6.59138125,0,23.04895605
25.507,35.242,8.21875,6.591690625,0,23.04747802
25.509,35.241,8.219125,6.591845313,0,23.04673901
25.508,35.238,8.2193125,6.591922656,0,23.04636951
25.506,35.232,8.22410625,6.591961328,0,23.04618475
25.504,35.228,8.229753125,6.591980664,0,23.04609238
25.503,35.225,8.232026562,6.626290332,0,23.04604619
25.503,35.226,8.233163281,6.680495166,0,23.04602309
25.504,35.231,8.233731641,6.745197583,0,23.04601155
25.505,35.238,8.23401582,6.821398792,0,23.04600577
25.505,35.246,8.23415791,6.912599396,0,23.04600866
25.506,35.257,8.234228955,7.018099698,0,23.0460101
25.506,35.271,8.234264478,7.121899849,0,23.04601083
25.507,35.284,8.2394,7.123599924,0,23.04601119
25.507,35.293,8.2354,7.122749887,0,23.04601137
25.507,35.298,8.2343,7.122324868,0,23.04601146
25.507,35.296,8.2384,7.122112358,0,23.0460115
25.506,35.292,8.2443,7.122006104,0,23.04601152
25.505,35.285,8.24725,7.121952976,0,23.04601154
25.505,35.2515,8.253125,7.121926413,0,23.04800577
25.504,35.24875,8.2621125,7.121913131,0,23.06100288
25.504,35.241,8.26445625,7.12190649,0,23.08000144
25.504,35.228,8.263284375,7.121903169,0,23.10100072
25.504,35.219,8.262698438,7.084101585,0,23.12200036
25.505,35.217,8.262405469,7.046900792,0,23.14050018
25.506,35.217,8.262258984,7.017350396,0,23.15775009
25.507,35.217,8.262185742,7.002575198,0,23.17587505
25.509,35.222,8.262149121,6.995187599,0,23.19343752
25.511,35.231,8.262130811,6.9914938,0,23.20971876
25.512,35.241,8.262121655,6.9811,0,23.22485938
25.512,35.251,8.2668,6.9878,0,23.23942969
25.509,35.26,8.2607,6.98025,0,23.25371485
25.504,35.267,8.2574,6.960875,0,23.26885742
25.5005,35.276,8.2542,6.9324875,0,23.28342871
25.49475,35.289,8.2492,6.90964375,0,23.29571436
25.486375,35.296,8.2449,6.889021875,0,23.30535718
25.4751875,35.303,8.2411,6.869910938,0,23.31267859
25.46859375,35.3,8.2381,6.852755469,0,23.31933929
25.46679688,35.2985,8.2368,6.834977734,0,23.32816965
25.46589844,35.29775,8.2367,6.819488867,0,23.34058482
25.46544922,35.297375,8.2376,6.8002,0,23.35729241
25.46522461,35.2971875,8.2408,6.7957,0,23.37864621
25.4651123,35.29709375,8.255,6.7871,0,23.4038231
25.46505615,35.29704687,8.25505,6.7773,0,23.43391155
25.46502808,35.29702344,8.255025,6.7642,0,23.46995578
25.46501404,35.31,8.2550125,6.749,0,23.50997789
25.462,35.297,8.25500625,6.7334,0,23.55098894
25.465,35.287,8.255003125,6.72355,0,23.59149447
25.462,35.282,8.255001563,6.706225,0,23.62974724
25.458,35.279,8.255000781,6.6828125,0,23.66687362
25.453,35.275,8.255000391,6.65360625,0,23.70493681
25.4495,35.274,8.255000195,6.618303125,0,23.7429684
25.44175,35.277,8.255000293,6.576451562,0,23.7799842
25.432375,35.28,8.255000342,6.532125781,0,23.8184921
25.4276875,35.283,8.255000366,6.490512891,0,23.85974605
25.42684375,35.285,8.255000378,6.453806445,0,23.90537303
25.42726563,35.284,8.255000385,6.431353223,0,23.95718651
25.42747656,35.284,8.255000381,6.420126611,0,24.01409326
25.42758203,35.287,8.25500038,6.414513306,0,24.07454663
25.42763477,35.292,8.255000379,6.411706653,0,24.13927331
25.42766113,35.298,8.255000379,6.410303326,0,24.20863666
25.42767432,35.305,8.255000379,6.3968,0,24.28131833
25.42768091,35.311,8.255000379,6.405,0,24.35515916
25.423,35.317,8.255000378,6.4089,0,24.42907958
25.426,35.323,8.255000378,6.4038,0,24.50103979
25.43,35.329,8.255000378,6.3976,0,24.5715199
25.42884045,35.334,8.254850189,6.396,0,24.64225995
25.42826068,35.338,8.247875095,6.3914,0,24.71262997
25.42797079,35.341,8.234737547,6.3833,0,24.78131499
25.42782585,35.341,8.218768774,6.3781,0,24.84915749
25.42775338,35.336,8.209484387,6.3778,0,24.91757875
25.42771714,35.3095,8.204842193,6.3839,0,24.98728937
25.42769903,35.30875,8.202521097,6.4,0,25.05914469
25.42684951,35.296375,8.201360548,6.4198,0,25.13257234
25.42642476,35.2751875,8.200780274,6.4297,0,25.20528617
25.42121238,35.24509375,8.200490137,6.44705,0,25.27814309
25.40560619,35.20604687,8.200345069,6.470475,0,25.35107154
25.38380309,35.16102344,8.1938,6.4991375,0,25.42503577
25.36090155,35.11401172,8.1988,6.53326875,0,25.50151789
25.33845077,35.06650586,8.2002,6.572184375,0,25.58125894
25.32322539,35.02075293,8.1952,6.615292187,0,25.66412947
25.33083808,34.97537646,8.1884,6.663596094,0,25.75106474
25.33464443,34.92868823,8.1956,6.718248047,0,25.84203237
25.3365476,34.88184412,8.1958,6.779624023,0,25.93751618
25.33749919,34.83592206,8.1959,6.848212012,0,26.03875809
25.33797498,34.82346103,8.19595,6.920206006,0,26.14237905
25.33821288,34.82873051,8.195975,6.990403003,0,26.24368952
25.33833183,34.83136526,8.1959875,7.056901501,0,26.34084476
25.3383913,34.83268263,8.1974,7.116900751,0,26.43192238
25.33842104,34.83334131,8.1988,7.170350375,0,26.51746119
25.34621052,34.83367066,8.21095,7.218325188,0,26.5982306
25.38110526,34.83350599,8.235125,7.258412594,0,26.6731153
25.43755263,34.83342365,8.2650125,7.288356297,0,26.74055765
25.50427631,34.83338248,8.26540625,7.312828148,0,26.80327882
25.56713816,34.8333619,8.265209375,7.337564074,0,26.86513941
25.59856908,34.834,8.265110938,7.364832037,0,26.92706971
25.61428454,34.842,8.265061719,7.398216019,0,26.99203485
25.62114227,34.844,8.265037109,7.435458009,0,27.05851743
25.62307113,34.847,8.265024805,7.472279005,0,27.12275871
25.62403557,34.83340307,8.265030957,7.510689502,0,27.18637936
25.62451778,34.83341336,8.265034033,7.551894751,0,27.25018968
25.62475889,34.8334185,8.265035571,7.592347376,0,27.31259484
25.62487945,34.83342108,8.26503634,7.615523688,0,27.37179742
25.63,34.83371054,8.265036725,7.627111844,0,27.42739871
25.632,34.837,8.265036917,7.632905922,0,27.47669935
25.635,34.841,8.265037013,7.635802961,0,27.52184968
25.628,34.843,8.265037061,7.63725148,0,27.56342484
25.625,34.8455,8.265037085,7.63797574,0,27.60171242
25.627,34.8555,8.272168543,7.6622,0,27.63635621
25.629,34.87175,8.282184271,7.645,0,27.6671781
25.631,34.891375,8.285592136,7.6387,0,27.69508905
25.6295,34.9106875,8.287296068,7.6443,0,27.72054453
25.622,34.92584375,8.288148034,7.6654,0,27.74477226
25.618,34.93892187,8.288574017,7.6847,0,27.74738613
25.6315,34.95346094,8.288787008,7.7046,0,27.7460792
25.63325,34.96773047,8.288893504,7.69465,0,27.74542573
25.637625,34.97086523,8.288946752,7.689675,0,27.745099
25.6468125,34.96929785,8.288973376,7.6871875,0,27.74493563
25.65640625,34.96851416,8.2922,7.68594375,0,27.74485395
25.66620312,34.96812231,8.289,7.685321875,0,27.7448131
25.67560156,34.96792639,8.2912,7.685632812,0,27.74479268
25.68430078,34.96802435,8.2935,7.685788281,0,27.74478247
25.69315039,34.96807333,8.2929,7.685866016,0,27.74477737
25.7015752,34.96809782,8.2927,7.685904883,0,27.72788868
25.7067876,34.96811007,8.2922,7.685924316,0,27.69544434
25.7048938,34.974,8.2926,7.685934033,0,27.65372217
25.7039469,34.963,8.2954,7.685938892,0,27.60736109
25.70347345,34.956,8.2993,7.685941321,0,27.55868054
25.70323672,34.957,8.3039,7.685942535,0,27.50984027
25.70311836,34.963,8.30725,7.740321268,0,27.46092014
25.70305918,34.971,8.313375,7.896910634,0,27.41046007
25.70302959,34.9795,8.3221875,8.154905317,0,27.35973003
25.7030148,34.99375,8.32974375,8.426452658,0,27.30986502
25.7030074,35.011875,8.327971875,8.312726329,0,27.25943251
25.7030037,35.0304375,8.327085937,8.255863165,0,27.20621625
25.69850185,35.04671875,8.326642969,8.227431582,0,27.14860813
25.69125092,35.05785938,8.326421484,8.213215791,0,27.08580406
25.68212546,35.06592969,8.326310742,8.206107896,0,27.01840203
25.67056273,35.07346484,8.326255371,8.202553948,0,26.94920102
25.65778137,35.085,8.326227686,8.200776974,0,26.87710051
25.64439068,35.085,8.326213843,8.199888487,0,26.80255025
25.64219534,35.085,8.326206921,8.199444243,0,26.72527513
25.64329301,35.085,8.326203461,8.199222122,0,26.64613756
25.64384185,35.085,8.32620173,8.051961061,0,26.56606878
25.64411627,35.089,8.326202596,7.97833053,0,26.48503439
25.64425347,35.091,8.326203028,7.941515265,0,26.4035172
25.64432208,35.09,8.326203244,7.846507633,0,26.3197586
25.64435638,35.087,8.326203353,7.772153816,0,26.2348793
25.64433923,35.082,8.326203407,7.759626908,0,26.14843965
25.64433065,35.077,8.326203434,7.765890362,0,26.06071982
25.64432637,35.074,8.326203447,7.769022089,0,25.97285991
25.648,35.071,8.3201,7.770587953,0,25.88542996
25.651,35.07,8.326203454,7.771370885,0,25.79821498
25.652,35.071,8.330751727,7.77176235,0,25.71110749
25.654,35.072,8.339975863,7.771958083,0,25.62455374
25.653,35.076,8.353237932,7.771860217,0,25.53927687
25.648,35.082,8.346606898,7.771811284,0,25.45563844
25.643,35.089,8.343291381,7.771786817,0,25.37331922
25.637,35.096,8.341633622,7.771774584,0,25.29265961
25.632,35.102,8.340804743,7.771768467,0,25.2143298
25.628,35.107,8.340390303,7.771765409,0,25.1381649
25.625,35.113,8.340183083,7.77176388,0,25.06458245
25.6185,35.121,8.340079473,7.771763115,0,24.99429123
25.60975,35.129,8.340027668,7.771762733,0,24.92714561
25.614125,35.138,8.340001766,7.737931366,0,24.86407281
25.6163125,35.145,8.338400883,7.666765683,0,24.8030364
25.61740625,35.15,8.325850441,7.592932842,0,24.7415182
25.61795312,35.152,8.310375221,7.526766421,0,24.6787591
25.61822656,35.151,8.30083761,7.48233321,0,24.61337955
25.61836328,35.147,8.299418805,7.451016605,0,24.54568978
25.61843164,35.139,8.300128208,7.415258303,0,24.47634489
25.61846582,35.128,8.300482909,7.382279151,0,24.40417244
25.61848291,35.1295,8.30066026,7.356389576,0,24.32808622
25.62024146,35.134,8.300748935,7.332744788,0,24.25154311
25.63062073,35.1385,8.300793273,7.309122394,0,24.17827156
25.64381036,35.142,8.300815442,7.280961197,0,24.11013578
25.65590518,35.1445,8.300826526,7.241780598,0,24.04956789
25.66745259,35.14575,8.300832068,7.197790299,0,23.99578394
25.6797263,35.146375,8.300834839,7.15729515,0,23.94639197
25.69036315,35.1466875,8.30361742,7.119497575,0,23.90319599
25.68868157,35.15334375,8.30680871,7.087648787,0,23.86759799
25.68784079,35.16117188,8.305213065,7.083874394,0,23.836799
25.68742039,35.16058594,8.304415242,7.085761591,0,23.8073995
25.6872102,35.16029297,8.304016331,7.086705189,0,23.77769975
25.6871051,35.16043945,8.304215787,7.087176988,0,23.74534987
25.68705255,35.16036621,8.304315514,7.087412888,0,23.71217494
25.68702627,35.16040283,8.304365378,7.087530838,0,23.68008747
25.68703941,35.16042114,8.30439031,7.087589813,0,23.64804373
25.68704598,35.1604303,8.304402776,7.0876193,0,23.61552187
25.68704926,35.16043488,8.31,7.087634044,0,23.58326093
25.68705091,35.169,8.3027,7.0801,0,23.55163047
25.68705173,35.16,8.2989,7.1012,0,23.52181523
25.68705132,35.16,8.301,7.115,0,23.49390762
25.68705111,35.161,8.3056,7.1263,0,23.46745381
25.68705101,35.159,8.3101,7.1384,0,23.4402269
25.68705096,35.161,8.31435,7.145,0,23.41261345
25.68705093,35.166,8.323025,7.1448,0,23.38430673
25.68705092,35.17,8.3246625,7.1469,0,23.35565336
25.68705091,35.175,8.32384375,7.156,0,23.32832668
25.68705091,35.177,8.323434375,7.164,0,23.30216334
25.68705091,35.175,8.323229688,7.1815,0,23.27758167
25.68252545,35.174,8.323127344,7.20565,0,23.25429084
25.66876273,35.176,8.323076172,7.232575,0,23.23214542
25.64638136,35.179,8.323050586,7.2635375,0,23.21207271
25.61769068,35.182,8.323037793,7.29926875,0,23.19353635
25.61484534,35.187,8.323031396,7.337234375,0,23.17626818
25.61626801,35.19,8.3263,7.375017187,0,23.15813409
25.61697935,35.195,8.3199,7.410708594,0,23.13956704
25.61662368,35.201,8.3166,7.441654297,0,23.11878352
25.61644585,35.208,8.3133,7.469177148,0,23.09689176
25.61635693,35.214,8.3079,7.495438574,0,23.07394588
25.61631247,35.221,8.3029,7.505369287,0,23.04997294
25.61629024,35.228,8.2982,7.500403931,0,23.02448647
25.61627913,35.235,8.294,7.497921252,0,22.99824324
25.61627357,35.243,8.2911,7.496679913,0,22.97262162
25.61627079,35.252,8.2888,7.496059244,0,22.94831081
25.6162694,35.26,8.2869,7.495748909,0,22.9266554
25.616,35.269,8.2867,7.495593742,0,22.9068277
25.613,35.278,8.2886,7.495516158,0,22.88791385
25.6035,35.287,8.2927,7.495477366,0,22.87095693
25.58575,35.296,8.2995,7.49545797,0,22.85597846
25.563875,35.304,8.3067,7.4844,0,22.84248923
25.5469375,35.31,8.3125,7.461,0,22.83024462
25.53846875,35.313,8.3176,7.4433,0,22.81912231
25.53423438,35.313,8.3212,7.4354,0,22.80806115
25.53211719,35.31,8.3243,7.4337,0,22.79753058
25.53105859,35.305,8.328,7.4353,0,22.78876529
25.5305293,35.295,8.3305,7.4469,0,22.78138264
25.53026465,35.282,8.3318,7.4706,0,22.77569132
25.526,35.269,8.3329,7.4932,0,22.77084566
25.53,35.259,8.3343,7.5068,0,22.76542283
25.53,35.253,8.3361,7.5126,0,22.75921142
25.5245,35.251,8.3387,7.5046,0,22.75160571
25.51925,35.252,8.3408,7.492,0,22.74230285
25.513125,35.254,8.3415,7.4814,0,22.73165143
25.5050625,35.261,8.3417,7.4363,0,22.71832571
25.49703125,35.272,8.3411,7.4358,0,22.70266286
25.49601562,35.284,8.3401,7.4116,0,22.68533143
25.49652344,35.293,8.3394,7.39,0,22.66866571
25.49677734,35.299,8.3385,7.3737,0,22.65233286
25.4969043,35.3,8.3374,7.3675,0,22.63766643
25.49695215,35.3,8.3361,7.3632,0,22.62433321
25.49692822,35.302,8.3347,7.3558,0,22.61116661
25.49691626,35.302,8.3333,7.352,0,22.5980833
25.49691028,35.299,8.332,7.3517,0,22.58654165
25.49690729,35.297,8.3304,7.3507,0,22.57477083
25.495,35.296,8.3282,7.3477,0,22.56288541
25.5,35.297,8.3257,7.341,0,22.54994271
25.5,35.301,8.3226,7.3279,0,22.53497135
25.498,35.305,8.3192,7.3133,0,22.51898568
25.497,35.308,8.3158,7.2999,0,22.50249284
25.493,35.312,8.3121,7.2841,0,22.48524642
25.4895,35.316,8.3081,7.2659,0,22.46762321
25.48375,35.32,8.3042,7.2469,0,22.4498116
25.475875,35.322,8.3005,7.2274,0,22.4329058
25.4669375,35.322,8.2973,7.2083,0,22.4179529
25.45746875,35.32,8.2946,7.1907,0,22.40547645
25.44673437,35.316,8.2923,7.1723,0,22.39473823
25.43336719,35.312,8.2903,7.1514,0,22.38636911
25.41718359,35.305,8.2889,7.1298,0,22.38018456
25.3985918,35.296,8.2881,7.107,0,22.37709228
25.3787959,35.288,8.288,7.0846,0,22.373
25.36939795,35.281,8.2887,7.0643,0,22.37
25.36469897,35.276,8.2901,7.0453,0,22.3675
25.36234949,35.274,8.2924,7.0281,0,22.36125
25.36117474,35.273,8.2956,7.0129,0,22.352625
25.36058737,35.273,8.3002,6.9996,0,22.3423125
25.36029369,35.275,8.3059,6.9893,0,22.32965625
25.36014684,35.28,8.3131,6.9824,0,22.31382813
25.36007342,35.285,8.3198,6.9749,0,22.29691406
25.356,35.288,8.3244,6.9639,0,22.28095703
25.36,35.29,8.3273,6.9499,0,22.26647852
25.358,35.289,8.3275,6.9312,0,22.25523926
25.352,35.288,8.3257,6.91,0,22.24611963
25.35,35.287,8.3225,6.89895,0,22.23755981
25.3445,35.285,8.30305,6.880475,0,22.23077991
25.33475,35.282,8.301625,6.8561375,0,22.22638995
25.323375,35.279,8.2976,6.82971875,0,22.22219498
25.3116875,35.275,8.2904,6.807159375,0,22.21609749
25.30134375,35.273,8.285,6.795879688,0,22.20704874
25.29417187,35.271,8.283,6.790239844,0,22.19352437
25.28908594,35.269,8.2822,6.787419922,0,22.17576219
25.28504297,35.266,8.2809,6.786009961,0,22.15538109
25.28706445,35.263,8.2817,6.78530498,0,22.13069055
25.2880752,35.259,8.2849,6.7627,0,22.10384527
25.28858057,35.255,8.2888,6.7742,0,22.10242264
25.28883325,35.253,8.2929,6.7815,0,22.10313395
25.28895959,35.253,8.297,6.7846,0,22.10348961
25.28902277,35.253,8.3003,6.7797,0,22.10366744
25.28899118,35.255,8.3049,6.7722,0,22.10375636
25.28897539,35.259,8.3084,6.7656,0,22.10380082
25.28896749,35.265,8.31435,6.7544,0,22.10382304
25.28896354,35.273,8.311375,6.7379,0,22.10383416
25.28896157,35.281,8.3098875,6.721,0,22.10383972
25.28896058,35.29,8.30914375,6.7053,0,22.10384249
25.28896009,35.298,8.308771875,6.6915,0,22.11192125
25.28895984,35.306,8.308585937,6.682,0,22.12046062
25.28895972,35.314,8.308492969,6.6718,0,22.12823031
25.28697986,35.324,8.308446484,6.6579,0,22.13711516
25.27598993,35.334,8.308423242,6.6437,0,22.14455758
25.25699496,35.344,8.308411621,6.629,0,22.14827879
25.23449748,35.352,8.307905811,6.6142,0,22.153
25.22674874,35.355,8.302152905,6.6008,0,22.155
25.22337437,35.353,8.294876453,6.5874,0,22.1605
25.22218719,35.345,8.288888226,6.5739,0,22.17075
25.22278078,35.309,8.284144113,6.5617,0,22.183875
25.22307757,35.3075,8.279622057,6.5513,0,22.1969375
25.22322597,35.29625,8.2733,6.5429,0,22.21096875
25.22330017,35.273125,8.2742,6.5371,0,22.22548438
25.22333727,35.2425625,8.2751,6.532,0,22.24024219
25.22335582,35.20928125,8.2748,6.5263,0,22.25612109
25.219,35.17514062,8.273,6.5207,0,22.27156055
25.22,35.14257031,8.2684,6.5148,0,22.28628027
25.221,35.11078516,8.2638,6.5096,0,22.30064014
25.226,35.07789258,8.2609,6.5061,0,22.31582007
25.228,35.04444629,8.2578,6.5032,0,22.33141003
25.23,35.01222314,8.2546,6.5009,0,22.34720502
25.231,34.98061157,8.2525,6.4997,0,22.36510251
25.231,34.94930579,8.2517,6.4996,0,22.38505125
25.231,34.91865289,8.2531,6.5009,0,22.40852563
25.233,34.88782645,8.2575,6.5039,0,22.43626281
25.233,34.85841322,8.2636,6.5081,0,22.46813141
25.229,34.83220661,8.2696,6.513,0,22.5040657
25.222,34.80960331,8.2749,6.5191,0,22.54453285
25.218,34.79130165,8.28335,6.5264,0,22.59026643
25.2115,34.78715083,8.291225,6.533,0,22.63963321
25.20525,34.78922624,8.2929125,6.5478,0,22.68881661
25.199125,34.79026395,8.29300625,6.57145,0,22.7374083
25.1955625,34.7907828,8.292959375,6.605525,0,22.78320415
25.19378125,34.79104223,8.292935938,6.5884875,0,22.82660208
25.19289062,34.79117194,8.292924219,6.57996875,0,22.86930104
25.19244531,34.79110708,8.292918359,6.575709375,0,22.90965052
